year,country,GDP
1969,American,86139443.22
1969,Bsdif,89640312.46
1969,China,39338418.32
1969,Disco,18529427.63
1969,Ehsdf,95303231.31
1969,Forse,99988503.84
1969,Gisdg,31134593.43
1969,Hadff,3629692.735
1969,Internel,48195705.47
1969,Jisfd,26403059.51
1969,Kerval,1100813.647
1969,Laberl,55147170.02
1969,Mosico,99542951.82
1969,Nanner,35865873.62
1969,Obser,75287680.5
1969,Popping,48510701.48
1969,Qsdf,7916089.606
1969,Rsdfj,68288073.87
1969,Sdgfnnx,48329356.65
1969,Tserss,97072306.52
1970,American,73701112.11
1970,Bsdif,2112248.135
1970,China,61166954.82
1970,Disco,48995976.13
1970,Ehsdf,75510078.88
1970,Forse,90720368.08
1970,Gisdg,19619778.11
1970,Hadff,11524273.22
1970,Internel,55515234.92
1970,Jisfd,4028265.117
1970,Kerval,73718068.07
1970,Laberl,73387370.26
1970,Mosico,27772916.96
1970,Nanner,97482981.51
1970,Obser,17284198.54
1970,Popping,28437539.88
1970,Qsdf,79394176.88
1970,Rsdfj,89529596.91
1970,Sdgfnnx,27977193.39
1970,Tserss,49107134.91
1971,American,92107042.54
1971,Bsdif,3247415.988
1971,China,33197431.39
1971,Disco,22940968.87
1971,Ehsdf,12540896.07
1971,Forse,33076137.15
1971,Gisdg,35761915.98
1971,Hadff,49102530.05
1971,Internel,6040142.318
1971,Jisfd,69909863.71
1971,Kerval,28410356.79
1971,Laberl,75052150.34
1971,Mosico,8320374.714
1971,Nanner,98077928.39
1971,Obser,59177156.84
1971,Popping,11436568.9
1971,Qsdf,67906789.1
1971,Rsdfj,34890456.14
1971,Sdgfnnx,94337001.52
1971,Tserss,40196489.86
1972,American,57472312.13
1972,Bsdif,79205825.78
1972,China,94067882.82
1972,Disco,90973652.07
1972,Ehsdf,48421486.66
1972,Forse,84047258.48
1972,Gisdg,26663756.95
1972,Hadff,4118559.032
1972,Internel,5692362.581
1972,Jisfd,84198706.7
1972,Kerval,8854779.934
1972,Laberl,93946745.48
1972,Mosico,63073920.96
1972,Nanner,54238793.8
1972,Obser,46423298.91
